movie,Nosey,Bossy,Easygoing,Rebellious,Humble,Conscientious
ID116vid6,46.41176471,41.52941176,58.47058824,36.70588235,51.83333333,58.46666667
ID116vid6,46.52941176,38.29411765,58.17647059,36.47058824,52.27777778,58.73333333
ID116vid6,46.88235294,36.05882353,58.64705882,35.76470588,52.16666667,59.53333333
ID116vid6,47.47058824,41.35294118,58.41176471,33.17647059,52.61111111,60.33333333
ID116vid6,47.35294118,41.05882353,59.58823529,33.17647059,52.5,61.2
ID116vid6,47.35294118,40.58823529,59.58823529,34.35294118,52.83333333,62.46666667
ID116vid6,47.11764706,38.52941176,59,35.17647059,52.72222222,62.86666667
ID116vid6,46.64705882,38.76470588,59.58823529,34.58823529,52.94444444,64.06666667
ID116vid6,46.76470588,38.35294118,60.35294118,33.52941176,53.61111111,64.6
ID116vid6,46.17647059,41.23529412,62.29411765,33.52941176,54.38888889,64.86666667
ID116vid6,44.11764706,38.70588235,62.64705882,34.82352941,55.27777778,64.86666667
ID116vid6,44,41.82352941,63.47058824,35.17647059,55.5,65.13333333
ID116vid6,44,41.35294118,64.29411765,33.23529412,55.94444444,65.53333333
ID116vid6,43.41176471,39.82352941,64.41176471,33.47058824,56.5,65
ID116vid6,43.41176471,38.94117647,64.64705882,33.94117647,57.05555556,65
ID116vid6,43.29411765,38.35294118,65.23529412,33.47058824,56.94444444,65.13333333
ID116vid6,43.29411765,38.23529412,65.23529412,33.70588235,57.5,65.66666667
ID116vid6,43.52941176,37.76470588,64.88235294,33.23529412,57.61111111,66.73333333
ID116vid6,43.29411765,39.58823529,65,32.64705882,57.61111111,67.26666667
ID116vid6,43.41176471,39.58823529,64.29411765,34.64705882,57.94444444,67.53333333
ID116vid6,44.11764706,38.76470588,63.58823529,33.70588235,58.27777778,67.26666667
ID116vid6,44.58823529,38.64705882,62.23529412,28.70588235,58.16666667,66.86666667
ID116vid6,44.47058824,37.94117647,59.23529412,29.29411765,57.61111111,66.86666667
ID116vid6,44.35294118,38.52941176,60.35294118,29.76470588,57.5,66.33333333
ID116vid6,44.35294118,38.64705882,61.11764706,29.76470588,57.61111111,66.06666667
ID116vid6,44.58823529,39.70588235,63.47058824,30.11764706,57.83333333,67
ID116vid6,44.47058824,39.11764706,63.23529412,30.23529412,58.27777778,67.26666667
ID116vid6,44.58823529,38.70588235,63.47058824,30.23529412,58.5,66.13333333
ID116vid6,44.35294118,37.76470588,62.88235294,29.76470588,58.72222222,66.4
ID116vid6,43.76470588,37.17647059,62.52941176,30.58823529,58.16666667,66.4
ID116vid6,44.58823529,36.94117647,62.05882353,31.05882353,58.05555556,65.46666667
ID116vid6,45.47058824,37.29411765,62.05882353,31.41176471,57.83333333,65.73333333
ID116vid6,45.94117647,38.05882353,61.94117647,31.29411765,57.72222222,66.26666667
ID116vid6,45.70588235,37.23529412,62.17647059,31.05882353,57.94444444,66.26666667
ID116vid6,46.76470588,37.11764706,61.82352941,31.41176471,57.83333333,66.26666667
ID116vid6,46.05882353,37.47058824,61.70588235,31.23529412,57.83333333,66.26666667
ID116vid6,45.82352941,37.23529412,62.29411765,31.35294118,57.94444444,66
